정부,대통령,명칭,이름,임기시작,임기종료,링크
제1공화국,이승만,상공부 장관,김영찬,1960년 4월 8일,1960년 4월 28일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%98%81%EC%B0%AC_
제1공화국,이승만,상공부 장관,전택보,1960년 4월 28일,1960년 6월 2일,https://ko.wikipedia.org/w/index.php?title=%EC%A0%84%ED%83%9D%EB%B3%B4&action=edit&redlink=1
제1공화국,이승만,상공부 장관,오정수,1960년 6월 2일,1960년 7월 1일,https://ko.wikipedia.org/w/index.php?title=%EC%98%A4%EC%A0%95%EC%88%98&action=edit&redlink=1
제1공화국,이승만,사회부 장관,전진한,1948년 8월 1일,1948년 12월 24일,https://ko.wikipedia.org/wiki/%EC%A0%84%EC%A7%84%ED%95%9C
제1공화국,이승만,사회부 장관,이윤영,1948년 12월 24일,1950년 11월 23일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9C%A4%EC%98%81_
제1공화국,이승만,사회부 장관,허정,1950년 11월 23일,1952년 1월 12일,https://ko.wikipedia.org/wiki/%ED%97%88%EC%A0%95
제1공화국,이승만,사회부 장관,최창순,1952년 1월 12일,1952년 10월 9일,https://ko.wikipedia.org/w/index.php?title=%EC%B5%9C%EC%B0%BD%EC%88%9C&action=edit&redlink=1
제1공화국,이승만,사회부 장관,박술음,1952년 10월 9일,1955년 2월 16일,https://ko.wikipedia.org/w/index.php?title=%EB%B0%95%EC%88%A0%EC%9D%8C&action=edit&redlink=1
제1공화국,이승만,보건부 장관,구영숙,1948년 6월 4일,1950년 11월 26일,https://ko.wikipedia.org/w/index.php?title=%EA%B5%AC%EC%98%81%EC%88%99&action=edit&redlink=1
제1공화국,이승만,보건부 장관,오한영,1950년 11월 26일,1952년 2월 5일,https://ko.wikipedia.org/w/index.php?title=%EC%98%A4%ED%95%9C%EC%98%81&action=edit&redlink=1
제1공화국,이승만,보건부 장관,최재유,1952년 2월 5일,1955년 2월 16일,https://ko.wikipedia.org/w/index.php?title=%EC%B5%9C%EC%9E%AC%EC%9C%A0&action=edit&redlink=1
제1공화국,이승만,보건사회부 장관,최재유,1955년 2월 17일,1956년 5월 26일,https://ko.wikipedia.org/w/index.php?title=%EC%B5%9C%EC%9E%AC%EC%9C%A0&action=edit&redlink=1
제1공화국,이승만,보건사회부 장관,정준모,1956년 5월 26일,1957년 6월 17일,https://ko.wikipedia.org/w/index.php?title=%EC%A0%95%EC%A4%80%EB%AA%A8_&action=edit&redlink=1
제1공화국,이승만,보건사회부 장관,손창환,1957년 6월 17일,1960년 4월 28일,https://ko.wikipedia.org/w/index.php?title=%EC%86%90%EC%B0%BD%ED%99%98&action=edit&redlink=1
제1공화국,이승만,보건사회부 장관,김성진,1960년 4월 28일,1960년 8월 19일,https://ko.wikipedia.org/w/index.php?title=%EA%B9%80%EC%84%B1%EC%A7%84_&action=edit&redlink=1
